List ID,List Name,Source (Functional Spec sheet),Group,Item,Selection Rule
6.1,TPA Services provided or Industry,"Reference Lists sheet, ""Services Provided / Industry"" block",,Financial / Tax / Legal services,Choose single best-fit item
6.1,TPA Services provided or Industry,"Reference Lists sheet, ""Services Provided / Industry"" block",,"Trustees, Custodians",Choose single best-fit item
6.1,TPA Services provided or Industry,"Reference Lists sheet, ""Services Provided / Industry"" block",,Corporate Secretariat,Choose single best-fit item
6.1,TPA Services provided or Industry,"Reference Lists sheet, ""Services Provided / Industry"" block",,Manpower / HR-related services / Recruiters,Choose single best-fit item
6.1,TPA Services provided or Industry,"Reference Lists sheet, ""Services Provided / Industry"" block",,Non-deal related Sales & Marketing Agents,Choose single best-fit item
6.1,TPA Services provided or Industry,"Reference Lists sheet, ""Services Provided / Industry"" block",,Provision of Management / Operational services with decision-making authority,Choose single best-fit item
6.1,TPA Services provided or Industry,"Reference Lists sheet, ""Services Provided / Industry"" block",,Construction / General Contractors / Builders,Choose single best-fit item
6.1,TPA Services provided or Industry,"Reference Lists sheet, ""Services Provided / Industry"" block",,Legal Services involving commercial contract negotiations,Choose single best-fit item
6.1,TPA Services provided or Industry,"Reference Lists sheet, ""Services Provided / Industry"" block",,"Technical Advisory services (Architectural, Mechanical & Electrical, HSE, Quantity Surveyors, etc.)",Choose single best-fit item
6.1,TPA Services provided or Industry,"Reference Lists sheet, ""Services Provided / Industry"" block",,Joint Venture / Consortium Partners,Choose single best-fit item
6.1,TPA Services provided or Industry,"Reference Lists sheet, ""Services Provided / Industry"" block",,Consultant,Choose single best-fit item
6.1,TPA Services provided or Industry,"Reference Lists sheet, ""Services Provided / Industry"" block",,Insurance Brokers,Choose single best-fit item
6.1,TPA Services provided or Industry,"Reference Lists sheet, ""Services Provided / Industry"" block",,Legal Services involving litigation,Choose single best-fit item
6.1,TPA Services provided or Industry,"Reference Lists sheet, ""Services Provided / Industry"" block",,"Logistics Services, including freight forwarders, customs clearance",Choose single best-fit item
6.1,TPA Services provided or Industry,"Reference Lists sheet, ""Services Provided / Industry"" block",,Licensing Agent,Choose single best-fit item
6.1,TPA Services provided or Industry,"Reference Lists sheet, ""Services Provided / Industry"" block",,Deal-related Sales Brokers / Agents,Choose single best-fit item
6.2,TPA Interaction with Third parties,"Reference Lists sheet, ""Interaction with Third Parties"" block",Government Officials/Entities interaction,No interactions with Government Officials or Entities,"Two sub-dimensions in one field (Government + Non-Government). Choose the single best-fit item from EACH group below (up to two selections total, one per group), not one item overall."
6.2,TPA Interaction with Third parties,"Reference Lists sheet, ""Interaction with Third Parties"" block",Government Officials/Entities interaction,"Indirect interaction with Government Officials / Institutions (only application / submission through online portals, etc.)","Two sub-dimensions in one field (Government + Non-Government). Choose the single best-fit item from EACH group below (up to two selections total, one per group), not one item overall."
6.2,TPA Interaction with Third parties,"Reference Lists sheet, ""Interaction with Third Parties"" block",Government Officials/Entities interaction,Minimal / infrequent in-person interaction with Government Officials (official meetings only),"Two sub-dimensions in one field (Government + Non-Government). Choose the single best-fit item from EACH group below (up to two selections total, one per group), not one item overall."
6.2,TPA Interaction with Third parties,"Reference Lists sheet, ""Interaction with Third Parties"" block",Government Officials/Entities interaction,Substantial in-person interaction with Government Officials (including beyond official meetings),"Two sub-dimensions in one field (Government + Non-Government). Choose the single best-fit item from EACH group below (up to two selections total, one per group), not one item overall."
6.2,TPA Interaction with Third parties,"Reference Lists sheet, ""Interaction with Third Parties"" block",Non-Government third-party interaction,No interactions with non-Government third parties,"Two sub-dimensions in one field (Government + Non-Government). Choose the single best-fit item from EACH group below (up to two selections total, one per group), not one item overall."
6.2,TPA Interaction with Third parties,"Reference Lists sheet, ""Interaction with Third Parties"" block",Non-Government third-party interaction,Interactions with non-Government related third-parties without commission / success fees,"Two sub-dimensions in one field (Government + Non-Government). Choose the single best-fit item from EACH group below (up to two selections total, one per group), not one item overall."
6.2,TPA Interaction with Third parties,"Reference Lists sheet, ""Interaction with Third Parties"" block",Non-Government third-party interaction,Non-deal related interactions with non-Government third-parties with commission/success fees or payments,"Two sub-dimensions in one field (Government + Non-Government). Choose the single best-fit item from EACH group below (up to two selections total, one per group), not one item overall."
6.2,TPA Interaction with Third parties,"Reference Lists sheet, ""Interaction with Third Parties"" block",Non-Government third-party interaction,Deal-related interactions with non-Government related third-parties with commission/success fees or payments,"Two sub-dimensions in one field (Government + Non-Government). Choose the single best-fit item from EACH group below (up to two selections total, one per group), not one item overall."
6.3,Notable Org specific RF,"Reference Lists sheet, ""notable Org specific RF List"" block",,No organisation-specific Red Flags noted for the transaction,Choose all applicable best-fit item(s)
6.3,Notable Org specific RF,"Reference Lists sheet, ""notable Org specific RF List"" block",,TPA prefers to work without a contract or with a vague contract,Choose all applicable best-fit item(s)
6.3,Notable Org specific RF,"Reference Lists sheet, ""notable Org specific RF List"" block",,TPA requests that their identity be kept hidden / secret,Choose all applicable best-fit item(s)
6.3,Notable Org specific RF,"Reference Lists sheet, ""notable Org specific RF List"" block",,The TPA refuses or is hesitant to make anti-corruption compliance certifications in an agreement,Choose all applicable best-fit item(s)
6.3,Notable Org specific RF,"Reference Lists sheet, ""notable Org specific RF List"" block",,The TPA has requested for us to make any political or charitable contributions of any kind by any person associated with the transaction / engagement,Choose all applicable best-fit item(s)
6.3,Notable Org specific RF,"Reference Lists sheet, ""notable Org specific RF List"" block",,"There are discrepancies noted between the information provided by the TPA, and information obtained from independent sources",Choose all applicable best-fit item(s)
6.3,Notable Org specific RF,"Reference Lists sheet, ""notable Org specific RF List"" block",,"We noted ambiguity in resources, experience capability or staff qualifications to provide the goods or services",Choose all applicable best-fit item(s)
6.4,Notable Txn specific RF,"Reference Lists sheet, ""notable Txn specific red flags List"" block",,No Transaction-specific Red Flags noted for the transaction,Choose all applicable best-fit item(s)
6.4,Notable Txn specific RF,"Reference Lists sheet, ""notable Txn specific red flags List"" block",,Unusual upfront or excessive payments required (non-arms-length transactions involving significantly higher rates for similar goods/services),Choose all applicable best-fit item(s)
6.4,Notable Txn specific RF,"Reference Lists sheet, ""notable Txn specific red flags List"" block",,There are certain aspects of the transaction that does not adhere to or comply with Keppel's requisition and purchasing policy,Choose all applicable best-fit item(s)
6.4,Notable Txn specific RF,"Reference Lists sheet, ""notable Txn specific red flags List"" block",,"Unusual payment arrangements to bank accounts such as payments to foreign bank accounts, anonymous (numbered) bank accounts, or to bank accounts held in the names of individuals but containing corporate funds",Choose all applicable best-fit item(s)
6.4,Notable Txn specific RF,"Reference Lists sheet, ""notable Txn specific red flags List"" block",,Payment arrangements to bank accounts jointly owned by another third party,Choose all applicable best-fit item(s)
6.4,Notable Txn specific RF,"Reference Lists sheet, ""notable Txn specific red flags List"" block",,Payment arrangements involving multiple transactions to different bank accounts,Choose all applicable best-fit item(s)
6.4,Notable Txn specific RF,"Reference Lists sheet, ""notable Txn specific red flags List"" block",,Unusual billing arrangements for the transaction such as payments made to third parties or shell companies,Choose all applicable best-fit item(s)
6.4,Notable Txn specific RF,"Reference Lists sheet, ""notable Txn specific red flags List"" block",,Unusual billing arrangements such as cash transactions,Choose all applicable best-fit item(s)
